country,title,description,url,image,source,published_at,article_content,headline_hash
Nepal,Body found in search for man missing in water off Kaipara Harbour,A body had been found near the wharf on Shelly Beach Rd around 2.45pm yesterday.,https://www.1news.co.nz/2026/04/27/body-found-in-search-for-man-missing-in-water-off-kaipara-harbour/,https://tvnz-1-news-prod.cdn.arcpublishing.com/resizer/v2/river-water-stock-generic-ZIJH37T3U5A3RPOXJPQR6QX6TQ.jpg?auth=8887aebef84613744de1fbc2e31c01e4fc1b158325235057aba4b59e0741df3d&quality=70&width=600&height=315&focal=938%2C378,1News,2026-04-27T03:05:05Z,"A body has been found in the search for a man missing after entering the water off the Kaipara Harbour more than a week ago.
Emergency services were called to Shelly Beach around 1pm on April 19 after a man entered the water but failed to resurface.
... [401 chars]",5eedd17abd8c3a34bbe0340c8f01ad2d
Nepal,"Oil marketers deny hoarding, blame Middle East conflicts for fuel shortages","Earlier in the month, Energy Minister Ruth Nankabirwa warned the fuel dealers against hiking pump prices",https://www.monitor.co.ug/uganda/news/national/oil-marketers-deny-hoarding-blame-middle-east-conflicts-for-fuel-shortages-5437482,https://www.monitor.co.ug/resource/image/5434700/landscape_ratio3x2/1200/800/1ecdf1b345638706901fc049a7838ac/CV/markets001pix.gif,Daily Monitor,2026-04-27T03:04:01Z,"The Sustainable Energies and Petroleum Association of Uganda (SEPA-Uganda), the umbrella body of all licensed oil marketing companies in the country, has rejected government's allegations of fuel companies hoarding, manipulating, and smuggling fuel a... [2654 chars]",02b4308915cc38254df5380ed0d9accd
Nepal,Kibbutz Holit was left to fight Hamas alone for hours on October 7 — IDF probe,"Military investigation finds 60 terrorists attacked border community, killing 16 and abducting 9 to Gaza; troops left to fight elsewhere, backup arrived only in the afternoon",https://www.timesofisrael.com/kibbutz-holit-was-left-to-fight-hamas-alone-for-hours-on-october-7-idf-probe/,https://static-cdn.toi-media.com/www/uploads/2026/04/AFP__20231026__33Z86WP__v6__HighRes__IsraelPalestinianConflict.jpg,The Times of Israel,2026-04-27T03:02:26Z,"On the morning of October 7, 2023, some 60 Hamas terrorists invaded the unsuspecting community of Kibbutz Holit, located in the southern section of the border with the Gaza Strip.
Residents of Holit were left to fend for themselves for hours, with th... [9881 chars]",da5470f585b607f87374a4d82095bdbe
Nepal,The Nightmare Years,James Myburgh writes on the explosion of political and criminal violence during South Africa's transition from apartheid (1989-1994).,https://www.thecommonsense.co.za/Politics/the-nightmare-years,https://cdn.sanity.io/images/7o9a8q5w/production/4055245cacf1f50529c88ba0312aea14fe5af5f2-1280x720.png,The Common Sense,2026-04-27T03:02:01Z,"South Africa has lived with staggering levels of violent crime for three decades. The question of how this came to be, and why it has never been adequately explained, is the subject of a three-part series by analyst and historian Dr James Myburgh.
My... [35029 chars]",21e4c34498466748c4ffba0feda07b6b
Nepal,Singapore readies online safety law as minister flags slow platform response times,"Singapore is preparing to start its new Online Safety (Relief and Accountability) framework, introducing a dedicated Online Safety Commission with powers to order rapid content removal and strengthen victim redress. Law Minister Edwin Tong said existing platform response times of two to five days are “way too long,” highlighting the need for faster intervention as online harms spread rapidly through AI-driven systems. The new regime will start in two to three months and will impose clearer obligations on platforms, expand civil liability and address anonymity in online abuse, marking a shift toward stronger system-level regulation.",https://www.mlex.com/mlex/articles/2470023/singapore-readies-online-safety-law-as-minister-flags-slow-platform-response-times,https://www.mlex.com/images/.png,MLex,2026-04-27T03:01:00Z,"By James Konstantin Galvez ( April 27, 2026, 03:01 GMT | Insight) -- Singapore is preparing to start its new Online Safety (Relief and Accountability) framework, introducing a dedicated Online Safety Commission with powers to order rapid content remo... [1532 chars]",93b42fd977b142729e0125871a3090e0
Nepal,How old boys are using football to rebuild St Leo’s,"“Kyegobe can not die when we are still alive. It’s our role to bring it back,” a group of former students who completed S.6 in 1996 says.",https://www.newvision.co.ug/category/sports/how-old-boys-are-using-football-to-rebuild-st-NV_232581_042026,https://newvision-media.s3.amazonaws.com/cms/c97caaef-387e-406d-aae4-303d1a1d6ae6.jpg,NewVision.co.ug,2026-04-27T03:00:05Z,"________________
There was a time when St Leo’s College, Kyegobe, was not just a school; it was a force. On the hills of Fort Portal, it carried a reputation that stretched across Uganda. Discipline, pride and talent defined it.
In 1997, that identit... [4396 chars]",fae956d5adce3af5bbfb819f26cd58bc
Nepal,Guard arrested after Soroti shooting leaves businessma,"East Kyoga regional police commander Hajji Ibrahim Saiga said police responded promptly, arrested the suspect, and recovered the firearm, ammunition and other exhibits from the scene.",https://www.newvision.co.ug/category/news/guard-arrested-after-soroti-shooting-leaves-b-NV_232584_042026,https://newvision-media.s3.amazonaws.com/cms/2e1bb3b3-91f3-4efc-86b2-b7335cb6e09e.jpg,NewVision.co.ug,2026-04-27T03:00:05Z,"________________
Police in the East Kyoga Region are investigating a case of attempted murder by shooting that occurred on April 26, 2026, in Agip cell, Soroti East division, Soroti city.
The incident involved a security guard identified as Olakitari... [1189 chars]",ffcca8f15c6b159628961b42ccbe3da5
Nepal,What Britain wants from King Charles’ trip to Trumpland,The monarch’s fence-mending visit to the U.S. this week is the result of months of strategizing at the highest levels of the U.K. government.,https://www.politico.eu/article/what-britain-wants-from-king-charles-us-trip-donald-trump-ukraine-war/,"https://www.politico.eu/cdn-cgi/image/width=1200,height=630,fit=crop,quality=80,onerror=redirect/wp-content/uploads/2026/04/26/GettyImages-2235474475-scaled.jpg",politico.eu,2026-04-27T03:00:00Z,"LONDON — When King Charles III lands in the U.S. on Monday, his aides will be carrying a heavy ring binder lined with thick, textured paper.
Among reams of timings, briefings and biographies will likely be a condensed list of key objectives, the resu... [16856 chars]",d70f9d84d6805f551242769e1c558082
Nepal,Ending cervical cancer: Why boys must get the HPV vaccine too,Experts urge Kenya to expand HPV vaccination to boys as well as girls to curb transmission and accelerate the elimination of cervical cancer.,https://www.standardmedia.co.ke/health/health-science/article/2001546342/ending-cervical-cancer-why-boys-must-get-the-hpv-vaccine-too,https://cdn.standardmedia.co.ke/images/articles/thumbnails/MLCCokkRyNi24PdH5o6nBSLp5QlbtiPg1qJOFmgc.jpg,standardmedia.co.ke,2026-04-27T03:00:00Z,"Momentum is growing globally, and in Kenya, to expand HPV vaccination beyond girls to include boys and adult women, as medical experts increasingly warn that protecting only one gender is no longer enough to eliminate cervical cancer.
For years, Keny... [4785 chars]",e7f2b8bb8db5aaa65fb16090175d2d76
Nepal,Wetang'ula urges Health Ministry to fix teachers' SHA woes,National Assembly Speaker Moses Wetang’ula has urged urgent reforms to the SHA scheme to address teachers’ complaints over poor healthcare access and high costs.,https://www.standardmedia.co.ke/western/article/2001546366/wetangula-urges-health-ministry-to-fix-teachers-sha-woes,https://cdn.standardmedia.co.ke/images/articles/thumbnails/mM9IRequOH0qZHKphQTR26aTihyeGqbbaHtgrdrd.jpg,standardmedia.co.ke,2026-04-27T03:00:00Z,"National Assembly Speaker Moses Wetang’ula has urged the Ministry of Health to urgently address challenges teachers are facing under the new Social Health Authority (SHA) medical scheme.
Speaking at his Bungoma home during a meeting with teachers fro... [2500 chars]",c043fab9184aea1f7a6da76c593f8cf7
USA,"Fitzpatrick brothers' exciting, emotional victory earns Alex place on PGA Tour","Less than a year after fighting to keep DP World Tour card, Alex Fitzpatrick teamed with his older brother, Matt, to capture the Zurich Classic and earn his first PGA Tour card.",https://www.golfchannel.com/news/fitzpatrick-brothers-zurich-pga-tour-card-alex-matt,https://assets.golfchannel.com/dims4/default/00d0d0f/2147483647/strip/true/crop/3541x1992+0+369/resize/1440x810!/quality/90/?url=https%3A%2F%2Fversant-production-golfchannel.s3.us-east-1.amazonaws.com%2Fbrightspot%2Fd8%2F8d%2F3c90257648e3bfc6f5c8959d4e13%2Fhttps-delivery-gettyimages.com%2Fdownloads%2F2273282655,Golf Channel,2026-04-27T02:40:31Z,"AVONDALE, La. – Alex Fitzpatrick’s quest for his first PGA Tour card reached a successful yet nerve-racking conclusion Sunday evening at TPC Louisiana, where Fitzpatrick teamed with his older brother, Matt, who like Alex was coming off a victory in h... [10865 chars]",438bdfb3a3f77e1847c98661cd6a6ae2
USA,Trump claims gala shooting gives urgency to White House ballroom plan,President presses case for controversial $400m project following White House correspondents’ dinner shooting,https://www.theguardian.com/us-news/2026/apr/26/trump-white-house-ballroom-dinner-shooting,"https://i.guim.co.uk/img/media/8f3816a9ee7b0fbe47d96cf11b3f749610020984/403_0_4027_3222/master/4027.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=832aab58f3d99ef17332175647d69ff7",The Guardian,2026-04-27T02:36:00Z,"The shooting at the Washington Hilton hotel gives new urgency to the project to construct a 1,000-seat ballroom at the White House, Donald Trump claimed after the incident on Saturday night.
The US president pressed the case for his controversial bal... [4481 chars]",1aa09ba802530a5f347f3578a71514aa
USA,Reviews: What Do the Critics Think of The Lost Boys on Broadway?,"The screen-to-stage musical, featuring songs from band The Rescues, plays the Palace Theatre.",https://playbill.com/article/reviews-what-do-the-critics-think-of-the-lost-boys-on-broadway,https://assets.playbill.com/editorial/_facebookOpenGraph/THE-LOST-BOYS-LJ-Benet-Ali-Louis-Bourzgui-Brian-Flores-Dean-Maupin-Sean-Grandillo-Photo-by-Matthew-Murphy-2026.jpg,Playbill,2026-04-27T02:03:10Z,"The reviews are flying in for the musical adaptation of Joel Schumacher's 1987 cult classic The Lost Boys, which officially opened on Broadway April 26 after beginning performances at the Palace Theatre March 27.
With Michael Arden at the helm, The L... [3028 chars]",71f71ff298596bf85a40e548e66d1f20
USA,Victor Wembanyama 'very unhappy' with how NBA concussion protocol was handled after playoff injury,"The Spurs superstar didn't get into specifics, but said he was frustrated by the return-to-play process",https://www.cbssports.com/nba/news/victor-wembanyama-very-unhappy-nba-concussion-protocol/,https://sportshub.cbsistatic.com/i/r/2026/04/27/3be24c98-9cf6-48bd-be65-0f24d28c4ae0/thumbnail/1200x675/c4e1aee0b3e26ddba712723e23ea8eba/wembanyama-getty-13.png,CBS Sports,2026-04-27T02:02:54Z,"Victor Wembanyama returned with a bang on Sunday. After missing Game 3 of the San Antonio Spurs' first-round series against the Portland Trail Blazers due to a concussion, he put up 27 points on 9-for-17 shooting, 11 rebounds, three assists, seven (!... [1894 chars]",81b9c27e49c7686cdaf562103774f121
USA,"'Euphoria' actor breaks down Jacob Elordi, Sydney Sweeney's shocking wedding scene",The hotly anticipated “Euphoria” wedding between Nate (Jacob Elordi) and Cassie (Sydney Sweeney) has a bloody ending – Nate is brutally beaten and maimed on his wedding night.,https://pagesix.com/2026/04/26/entertainment/euphoria-actor-breaks-down-jacob-elordi-sydney-sweeneys-shocking-wedding-scene/,https://pagesix.com/wp-content/uploads/sites/3/2026/04/euphoria-69.jpg?quality=75&strip=all&w=1200,Page Six,2026-04-27T02:00:00Z,"He didn’t toe the line.
Warning: Spoilers ahead! Do not proceed unless you’ve watched “Euphoria” Season 3 episode 3, “The Ballad of Paladin.”
The hotly anticipated “Euphoria” wedding between Nate (Jacob Elordi) and Cassie (Sydney Sweeney) has a blood... [2718 chars]",b804d6d80dffb534bc17913e989e04e2
USA,"Michael moonwalks to $217m opening weekend, shattering box office records for a biopic","Michael Jackson biopic has shrugged off controversy, bad reviews and a troubled production to take $217m worldwide, including $97m in North America",https://www.theguardian.com/music/2026/apr/27/michael-jackson-biopic-record-box-office,"https://i.guim.co.uk/img/media/8b47bb38750bfb5103af1b7dbbfc1a812c45c4f1/117_0_2500_2000/master/2500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=8feb1ac27ad78c14ba6438fa46df9964",The Guardian,2026-04-27T01:45:00Z,"Michael, the big-budget Michael Jackson biopic, has shrugged off bad reviews and a troubled production to launch with a $97m opening in North American theaters, contributing to its enormous $217m (£160m, A$303m) worldwide box office and shattering th... [4035 chars]",1a985ae3ca178c225a860da684a0edfa
USA,"China industrial profits jump 15.8% in March, fueled by AI and chip boom despite oil shock risks","Rising global oil prices have begun seeping into the domestic economy, squeezing margins for manufacturers dependent on imported raw materials.",https://www.cnbc.com/2026/04/27/china-industrial-profits-march-iran-war-oil-shock.html,https://image.cnbcfm.com/api/v1/image/108293770-1776667491955-gettyimages-2226574375-vcg111581091952.jpeg?v=1776667552&w=1920&h=1080,CNBC,2026-04-27T01:36:00Z,"Vcg | Visual China Group | Getty Images
Profits at China's industrial firms grew at their fastest pace in six months in March, even as the Middle East war upended global oil markets and sent raw material costs soaring.
Industrial profits jumped 15.8%... [3713 chars]",9f20237ce0c61f86afbd5e02396984f3
USA,Alleged Colorado attacker's family released after nearly a year in detention,"A Texas judge ordered Hayam El Gamal and her five children released Thursday. Two days later, their lawyers say, ICE re-arrested and tried to deport them.",https://www.npr.org/2026/04/26/nx-s1-5800196/alleged-colorado-attacker-family-released-detention,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3000x1688+0+0/resize/1400/quality/85/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F40%2F18%2F91e78b284b1299baeec333190002%2Fap26113658092676.jpg,NPR,2026-04-27T01:30:23Z,"On Thursday evening, Hayam El Gamal and her five children were freed after 10 months at an ICE detention center in Texas. That morning, a Texas federal judge had ordered their release. He had also told the government not to deport them.
ICE had been ... [4208 chars]",b2ad1e0b42db90acede358286ee4a932
USA,San Antonio Spurs vs. Portland Trail Blazers Live Score and Stats,"Get real-time NBA Basketball coverage and scores as San Antonio Spurs takes on Portland Trail Blazers. We bring you the latest game previews, live stats, expert picks and recaps on CBSSports.com",https://www.cbssports.com/nba/gametracker/recap/NBA_20260426_SA@POR/,https://sportsfly.cbsistatic.com/fly-559/bundles/sportsmediacss/images/fantasy/default-article-image-large.png,CBS Sports,2026-04-27T01:20:06Z,"PORTLAND, Ore. (AP) Victor Wembanyama had 27 points, 11 rebounds and seven blocks in his return from a concussion and the San Antonio Spurs took a 3-1 lead in their first-round series against the Portland Trail Blazers with a 114-93 victory on Sunday... [2697 chars]",7ce362227240468394abc34e05566252
USA,Donald Trump Lashes Out At Norah O'Donnell For Reading From Suspect's Manifesto,President Trump sat down with '60 Minutes' in an aftermath of the shooting incident at the White House Correspondents' Association dinner.,https://deadline.com/2026/04/trump-white-house-correspondents-dinner-shooting-60-minutes-1236872891/,https://deadline.com/wp-content/uploads/2026/04/Screenshot-2026-04-26-at-5.39.41 PM.jpeg?w=1024,Deadline,2026-04-27T00:58:00Z,"UPDATED: Donald Trump got angry with 60 Minutes‘ Norah O’Donnell after she read a portion of a manifesto left by the suspect who stormed through a security checkpoint at the White House Correspondents’ Association Dinner.
During the sit down, taped o... [4431 chars]",093e922beeb02eb70e6ffc3dc4eaf5a6
